strategy_name,n,horizon,start_year,end_year,is_after_tax,tax_rate,initial_capital,final_equity,cumulative_return,cagr,max_drawdown,total_taxes_paid,total_dividends_received,pre_liquidation_wealth,post_liquidation_wealth,post_liquidation_cagr,tax_drag,alpha_vs_spx
Top_10_MarketCap_Quarterly,10,30y,1994,2024,False,0.3,10000.0,496589.8207907537,48.65898207907537,0.13902501074469598,-0.5103258929102109,0.0,32280.1003853043,496589.8207907537,496589.8207907537,0.13902501074469598,0.0,0.02978347614246335
Top_10_MarketCap_Quarterly,10,30y,1994,2024,True,0.3,10000.0,312613.23856826895,30.261323856826895,0.12158858048838628,-0.5333867759816873,30296.602740876035,23652.409511223414,312613.23856826895,243036.88891640148,0.11221583309255401,0.0174364302563097,0.018503523256741428
World_Top_3_MarketCap,3,30y,1994,2024,False,0.3,10000.0,793456.8092097582,78.34568092097582,0.15695759936518883,-0.5606532104932774,0.0,34867.07396724728,793456.8092097582,793456.8092097582,0.15695759936518883,0.0,0.0477160647629562
World_Top_3_MarketCap,3,30y,1994,2024,True,0.3,10000.0,505193.46805326897,49.5193468053269,0.1396773685022077,-0.5676807622210358,45517.877800507944,25886.878777757825,505193.46805326897,388497.9420976438,0.1297429089760167,0.01728023086298114,0.03659231127056284
World_Top_3_MarketCap_Quarterly,3,30y,1994,2024,False,0.3,10000.0,617950.837868702,60.7950837868702,0.14735672147554557,-0.6249034200103438,0.0,29421.91402349321,617950.837868702,617950.837868702,0.14735672147554557,0.0,0.038115186873312945
World_Top_3_MarketCap_Quarterly,3,30y,1994,2024,True,0.3,10000.0,377121.56691770547,36.712156691770545,0.1286242540460043,-0.6458351438224633,34195.69263808678,21349.28974400286,377121.56691770547,290922.0816890546,0.11890330385021741,0.018732467429541266,0.025539196814359455
World_Top_5_MarketCap,5,30y,1994,2024,False,0.3,10000.0,411894.8817841201,40.18948817841201,0.13194731376039437,-0.530030462828897,0.0,22723.41833472011,411894.8817841201,411894.8817841201,0.13194731376039437,0.0,0.022705779158161743
World_Top_5_MarketCap,5,30y,1994,2024,True,0.3,10000.0,271486.4145522129,26.14864145522129,0.11632744849823196,-0.5757751729363785,24926.27598901318,17603.322038970102,271486.4145522129,210488.88337885827,0.1068980919236937,0.015619865262162413,0.013242391266587106
World_Top_5_MarketCap_Quarterly,5,30y,1994,2024,False,0.3,10000.0,393676.231537511,38.3676231537511,0.13024164806130756,-0.6759265620279,0.0,20092.79811136829,393676.231537511,393676.231537511,0.13024164806130756,0.0,0.02100011345907493
World_Top_5_MarketCap_Quarterly,5,30y,1994,2024,True,0.3,10000.0,262636.0606021669,25.26360606021669,0.11509485461267555,-0.6953312547635631,22398.83248405706,15666.57449117668,262636.0606021669,202524.42516035677,0.10547581800081818,0.015146793448632012,0.012009797381030696
World_Top_10_MarketCap,10,30y,1994,2024,False,0.3,10000.0,436603.9897398132,42.66039897398132,0.13414763108735395,-0.3828359403581043,0.0,32610.52867246161,436603.9897398132,436603.9897398132,0.13414763108735395,0.0,0.02490609648512132
World_Top_10_MarketCap,10,30y,1994,2024,True,0.3,10000.0,273757.50177475443,26.375750177475442,0.11663748022664677,-0.40730777780377664,32010.964605331756,24395.602717117767,273757.50177475443,217037.92646606034,0.10802915451771344,0.017510150860707174,0.013552422995001923
World_Top_10_MarketCap_Quarterly,10,30y,1994,2024,False,0.3,10000.0,407458.0284273162,39.74580284273162,0.1315387452568142,-0.492724772293053,0.0,29889.83983597655,407458.0284273162,407458.0284273162,0.1315387452568142,0.0,0.022297210654581567
World_Top_10_MarketCap_Quarterly,10,30y,1994,2024,True,0.3,10000.0,255806.1710554572,24.58061710554572,0.11411588710122644,-0.5316427363973404,28473.824121344107,22420.68780164492,255806.1710554572,201995.9966237609,0.10537954929453064,0.01742285815558775,0.011030829869581593
S&P 500 (Annual),0,10y,2014,2024,False,0.0,10000.0,34253.94753597351,2.425394753597351,0.1310220264686175,-0.18110887480348867,0.0,3344.8378104025105,34253.94753597351,34253.94753597351,0.1310220264686175,0.0,0.0
S&P 500 (Annual),0,10y,2014,2024,True,0.3,10000.0,32449.603125764002,2.2449603125764,0.12491818883333106,-0.18510468505965455,973.7620332341146,3245.873444113716,32449.603125764002,26396.35561129868,0.10193098999442651,0.006103837635286435,0.0
MSCI World (Annual),0,10y,2014,2024,False,0.0,10000.0,27195.396487953265,1.7195396487953263,0.10522204658883716,-0.1772994997853176,0.0,3686.8400895422437,27195.396487953265,27195.396487953265,0.10522204658883716,0.0,-0.025799979879780333
MSCI World (Annual),0,10y,2014,2024,True,0.3,10000.0,25425.09816751406,1.5425098167514062,0.09780767789284561,-0.18248958792927786,1066.8546984823338,3556.1823282744463,25425.09816751406,21544.367006197477,0.07977526309576422,0.007414368695991547,-0.027110510940485444
FBGRX (Annual),0,10y,2014,2024,False,0.0,10000.0,52760.00947642739,4.276000947642738,0.18094721547722892,-0.3845044178637975,0.0,12278.541602103203,52760.00947642739,52760.00947642739,0.18094721547722892,0.0,0.049925189008611426
FBGRX (Annual),0,10y,2014,2024,True,0.3,10000.0,46045.48731799487,3.604548731799487,0.16498063779830008,-0.38541493761956946,3406.433473630729,11354.778245435766,46045.48731799487,37616.34455413792,0.14166229729715574,0.01596657767892884,0.04006244896496902
Nasdaq 100 (Annual),0,10y,2014,2024,False,0.0,10000.0,53594.69038670627,4.359469038670627,0.18280234434321896,-0.32465097977492724,0.0,1865.7862205693668,53594.69038670627,53594.69038670627,0.18280234434321896,0.0,0.05178031787460147
Nasdaq 100 (Annual),0,10y,2014,2024,True,0.3,10000.0,52367.302096153944,4.236730209615394,0.18006524553608405,-0.3261581422029572,552.0366543950947,1840.1221813169825,52367.302096153944,40043.537125384326,0.14882332136240928,0.002737098807134908,0.055147056702752995
S&P 500 (Quarterly),0,10y,2014,2024,False,0.0,10000.0,34253.94753597351,2.425394753597351,0.1310220264686175,-0.23867343566944038,0.0,3163.3117063331956,34253.94753597351,34253.94753597351,0.1310220264686175,0.0,0.0
S&P 500 (Quarterly),0,10y,2014,2024,True,0.3,10000.0,32441.02951721778,2.244102951721778,0.12488846349260418,-0.24138748895131582,919.0641346770051,3063.5471155900173,32441.02951721778,26352.065556326346,0.10174595887168736,0.006133562976013307,0.0
MSCI World (Quarterly),0,10y,2014,2024,False,0.0,10000.0,27195.396487953276,1.7195396487953263,0.10522204658883716,-0.25092536323959996,0.0,3498.488859745828,27195.396487953276,27195.396487953276,0.10522204658883716,0.0,-0.025799979879780333
MSCI World (Quarterly),0,10y,2014,2024,True,0.3,10000.0,25414.859039755254,1.5414859039755255,0.09776345926066599,-0.2548339710669534,1009.8273559424464,3366.0911864748227,25414.859039755254,21497.28047698839,0.07953903920084571,0.007458587328171173,-0.02715472957266507
FBGRX (Quarterly),0,10y,2014,2024,False,0.0,10000.0,52760.00947642737,4.276000947642738,0.18094721547722892,-0.3845044178637975,0.0,11742.160114341426,52760.00947642737,52760.00947642737,0.18094721547722892,0.0,0.049925189008611426
FBGRX (Quarterly),0,10y,2014,2024,True,0.3,10000.0,45997.3359666051,3.5997335966605095,0.16485875439513675,-0.38542886903797047,3247.8672355233516,10826.22411841117,45997.3359666051,37471.64224148991,0.14122236128536003,0.016088461082092165,0.039940565561805697
Nasdaq 100 (Quarterly),0,10y,2014,2024,False,0.0,10000.0,53594.69038670624,4.359469038670627,0.18280234434321896,-0.32465097977492724,0.0,1751.5810937248639,53594.69038670624,53594.69038670624,0.18280234434321896,0.0,0.05178031787460147
Nasdaq 100 (Quarterly),0,10y,2014,2024,True,0.3,10000.0,52364.703736803196,4.236470373680319,0.1800593901608638,-0.3261610406832494,517.8154329525405,1726.0514431751349,52364.703736803196,40017.76341882902,0.14874935683070678,0.0027429541823551506,0.05514120132753275
S&P 500 (Annual),0,20y,2004,2024,False,0.0,10000.0,71750.27090105861,6.175027090105861,0.10354787103218777,-0.3699761081938922,0.0,9702.157480923734,71750.27090105861,71750.27090105861,0.10354787103218777,0.0,0.0
S&P 500 (Annual),0,20y,2004,2024,True,0.3,10000.0,63861.33215352912,5.386133215352912,0.09713962016592537,-0.37444065675945165,2699.8940827571,8999.646942523668,63861.33215352912,49592.85836540035,0.0833554114762225,0.006408250866262399,0.0
MSCI World (Annual),0,20y,2004,2024,False,0.0,10000.0,51791.07916510664,4.179107916510663,0.08570727526952071,-0.4032984353720398,0.0,10811.352331981316,51791.07916510664,51791.07916510664,0.08570727526952071,0.0,-0.017840595762667055
MSCI World (Annual),0,20y,2004,2024,True,0.3,10000.0,44413.766117938496,3.44137661179385,0.07739729307924792,-0.41031863117652423,2953.855984853456,9846.186616178189,44413.766117938496,36157.335471954364,0.06637467090131977,0.008309982190272791,-0.019742327086677447
FBGRX (Annual),0,20y,2004,2024,False,0.0,10000.0,126390.46538024973,11.63904653802497,0.13523485211047426,-0.3862164662349677,0.0,35121.557306095834,126390.46538024973,126390.46538024973,0.13523485211047426,0.0,0.03168698107828649
FBGRX (Annual),0,20y,2004,2024,True,0.3,10000.0,98733.64518159084,8.873364518159084,0.12130370864772755,-0.3912094473812726,8926.771446394618,29755.904821315395,98733.64518159084,78362.29163958982,0.10842255974631465,0.013931143462746709,0.02416408848180218
